Query_ID	Doc_ID	Rank	Score
1	51	1	78.7220410299868
1	874	2	59.61533859564996
1	486	3	52.33387130401083
1	329	4	50.66683158992482
1	12	5	38.29517748137813
1	1268	6	36.48659345776007
1	792	7	33.25113377627751
1	576	8	32.77305766227533
1	1144	9	32.44128648997722
1	588	10	32.18009850216485
2	51	1	63.16430524574257
2	12	2	59.78998202315931
2	1147	3	44.39659031904855
2	100	4	42.95487016785408
2	588	5	42.87450161253434
2	1169	6	41.789316957676334
2	14	7	39.721546265830554
2	1263	8	36.89237584879781
2	792	9	36.15526978309305
2	640	10	35.805982615701105
3	144	1	44.33824429048889
3	707	2	33.823613343960396
3	542	3	31.565853658364006
3	329	4	29.167958385565633
3	395	5	28.44397759652194
3	1072	6	28.040527413397825
3	1097	7	28.03293956155571
3	91	8	27.018511915834367
3	730	9	26.365298338623795
3	579	10	25.868609383228474
4	185	1	61.14018718053483
4	575	2	50.39328012775155
4	179	3	50.09739393409232
4	188	4	50.09739393409232
4	189	5	48.764058350924046
4	1061	6	47.97125507447511
4	193	7	43.56256654947281
4	576	8	43.12905506250638
4	317	9	42.38119629344084
4	660	10	42.170812919882664
5	401	1	31.123035713865413
5	329	2	29.461826786644725
5	1066	3	28.542379007674974
5	730	4	28.411831067221332
5	163	5	26.624338985658838
5	14	6	26.188433041413052
5	968	7	25.72881532912071
5	753	8	25.07673402850891
5	625	9	25.067799436017822
5	103	10	22.986786412255878
6	798	1	45.556172946272554
6	99	2	40.54376511964158
6	257	3	38.28704109834691
6	151	4	35.585692294004566
6	315	5	35.151546700938184
6	927	6	34.872936075007495
6	976	7	32.7441421602735
6	131	8	31.84386327375322
6	522	9	30.089126167843112
6	491	10	27.959834482435276
7	1040	1	80.89286327677603
7	1347	2	67.29810227932587
7	189	3	63.07342981825468
7	122	4	62.02603428089625
7	1231	5	61.893702210311076
7	947	6	60.41983698941789
7	225	7	56.000200710586434
7	1307	8	53.20806452653728
7	423	9	52.26542321221537
7	492	10	51.279253591204565
8	234	1	91.25742488988216
8	122	2	74.89388727772652
8	947	3	72.76698283822597
8	189	4	62.26545381393578
8	433	5	61.9126994974336
8	160	6	61.10691693422265
8	1347	7	60.57525109329192
8	197	8	57.08033928839772
8	1231	9	55.20603957758979
8	1307	10	54.88253947745319
9	564	1	54.11812493674982
9	662	2	49.916740134480044
9	49	3	43.93121038986232
9	571	4	40.10859283901995
9	123	5	39.08259297926634
9	45	6	38.24087885988563
9	1213	7	36.12689808205528
9	572	8	35.98857593168472
9	270	9	35.024795864571566
9	1040	10	33.682591897395326
10	493	1	73.28422496881137
10	185	2	54.170954024651806
10	1199	3	48.50980774263385
10	302	4	38.86940364037193
10	329	5	37.21140882799456
10	110	6	36.329012536677254
10	949	7	35.38952937624148
10	541	8	30.976654498631888
10	1143	9	30.057823603557416
10	1313	10	29.92569529054165
11	1356	1	48.27069759598231
11	160	2	46.44205361493344
11	72	3	44.76841505021045
11	1248	4	43.80630411968757
11	132	5	42.2120219029809
11	25	6	41.59637457114583
11	1108	7	38.69082158113483
11	329	8	37.79774190178908
11	495	9	36.97664344360172
11	572	10	36.70106940970035
12	649	1	41.58177852019501
12	270	2	41.408295483149224
12	1209	3	40.32623272066492
12	941	4	37.96989976762945
12	329	5	33.76083292460342
12	704	6	33.18249280559078
12	1066	7	32.12002834632033
12	1094	8	31.955324112066783
12	33	9	31.69150255467901
12	966	10	31.649183223063275
13	199	1	47.53313938087443
13	1268	2	40.1403409351658
13	660	3	31.714588142293294
13	496	4	27.98223638436447
13	903	5	26.558900751564227
13	643	6	23.766569690437215
13	801	7	21.36967801025614
13	520	8	20.87397817580274
13	1242	9	13.591966346697125
13	837	10	13.380113645055268
14	1313	1	87.97839302276533
14	798	2	73.32070894713243
14	132	3	72.73548909300929
14	64	4	71.96443689251078
14	329	5	57.2077640007025
14	170	6	56.80486883231384
14	1248	7	48.722927709294474
14	721	8	46.333096029591246
14	903	9	44.220467900258875
14	1156	10	42.556215791820875
15	1097	1	27.970125914877936
15	462	2	26.71881148659703
15	1025	3	23.163463425107615
15	82	4	18.76226604344546
15	542	5	18.76226604344546
15	463	6	15.171998877999634
15	1043	7	15.171998877999634
15	1199	8	14.361068661783307
15	553	9	11.987196820661973
15	761	10	11.987196820661973
16	927	1	67.01907462988024
16	498	2	61.498379754055605
16	1239	3	57.414102380988155
16	1328	4	53.07585794313933
16	433	5	47.42908939964383
16	976	6	47.0103322800111
16	160	7	45.89408820800519
16	25	8	39.13057284835158
16	266	9	37.84326414414382
16	814	10	37.553550237888906
17	1239	1	65.76935930348883
17	1108	2	65.38283277542556
17	1201	3	63.374654235015406
17	927	4	60.8394317349753
17	94	5	55.809763403153106
