Query_ID	Doc_ID	Rank	Score
1	12	1	23.882913988237377
1	184	2	23.125422062161892
1	486	3	23.003771286972103
1	878	4	20.856853903963117
1	1268	5	20.685022215902016
1	13	6	19.29145707058119
1	195	7	14.831385367968874
1	172	8	14.30271053679933
1	1144	9	13.812869175923705
1	141	10	13.549066707663343
2	12	1	39.42163930136455
2	14	2	19.43163654762767
2	172	3	18.958197305454632
2	51	4	18.214389255249593
2	724	5	17.989506951059816
2	1169	6	17.147279611765544
2	1170	7	16.386458189966227
2	792	8	16.28753484419149
2	1042	9	15.892563489993737
2	1089	10	15.459916789683582
3	5	1	30.04455625028867
3	181	2	23.61494978753354
3	485	3	19.693434566013394
3	542	4	19.51715955089079
3	980	5	17.47412870082311
3	547	6	15.457918595818409
3	828	7	15.334768837685246
3	144	8	15.071445383281414
3	251	9	14.897699308613241
3	826	10	14.69668698190161
4	1189	1	27.569316933171557
4	1061	2	23.664020957478034
4	1085	3	22.941665421064428
4	1255	4	21.073344197873382
4	1275	5	20.584781944889624
4	575	6	20.5337004198152
4	259	7	20.38433498930234
4	1312	8	20.2422938381059
4	317	9	20.098417184045502
4	185	10	19.84132546152918
5	103	1	19.263933614723186
5	1032	2	19.20813027030148
5	943	3	15.828027558832527
5	746	4	14.329977546003098
5	1379	5	13.702680169131824
5	1296	6	13.187477213059566
5	625	7	13.142504155648842
5	1272	8	12.675455286556387
5	28	9	12.554060211250794
5	1295	10	12.429512703689294
6	491	1	19.723054825834733
6	121	2	17.842004547600446
6	257	3	15.906592620872962
6	315	4	14.259654767145058
6	610	5	14.033989686289024
6	251	6	13.136981413104822
6	651	7	12.827170328754121
6	386	8	12.359827711106742
6	409	9	12.143325741559462
6	1374	10	11.730883106571445
7	492	1	52.308526781881916
7	122	2	32.025842756295525
7	1231	3	30.106380561970447
7	56	4	27.709651028689134
7	973	5	24.979179867929783
7	124	6	24.388611445043058
7	232	7	23.84966947195235
7	1040	8	22.589738659302437
7	1307	9	21.500825508756435
7	1006	10	21.3294782078975
8	122	1	29.275332775581447
8	492	2	23.04883278387123
8	1352	3	21.80505618872325
8	433	4	19.23154627101874
8	988	5	18.54302573642311
8	69	6	18.459179159821502
8	1231	7	18.29347975976905
8	232	8	17.331268341040495
8	124	9	17.184848411175548
8	197	10	17.163143985223517
9	45	1	24.14461260860076
9	102	2	18.976498641402497
9	306	3	18.715006384219635
9	571	4	18.33501625621909
9	550	5	18.236740820776273
9	270	6	16.66389376319314
9	303	7	15.571993917546965
9	21	8	15.099436412813315
9	1215	9	14.644915873337569
9	1002	10	14.49768625357089
10	493	1	31.673606592392282
10	1199	2	21.326987386150954
10	302	3	21.1280975689404
10	1009	4	19.329748095622257
10	1264	5	18.812334271498333
10	1010	6	18.75345567638405
10	949	7	18.74508302504144
10	421	8	18.465895053513353
10	781	9	18.278046279856653
10	405	10	18.149076791986655
11	495	1	31.906589931594006
11	654	2	20.60707589730358
11	110	3	20.09604470541422
11	72	4	18.859715016592155
11	273	5	18.693077806408837
11	667	6	18.374274138028625
11	1356	7	17.20493464291652
11	473	8	17.039449546242725
11	192	9	16.418131947328305
11	472	10	16.023064896448055
12	543	1	22.457912395547766
12	650	2	20.98423618353964
12	1232	3	20.249405103343385
12	649	4	18.308394826237738
12	624	5	18.2522384449549
12	1223	6	15.246924315793256
12	1221	7	14.370953247572352
12	1164	8	13.456664529309183
12	506	9	13.333657556958787
12	602	10	13.19302486792984
13	496	1	24.288399960531375
13	903	2	16.999203673696698
13	520	3	15.279745189395364
13	38	4	13.187349276033775
13	440	5	12.091066038329156
13	880	6	11.880500747641022
13	1268	7	11.621584722135871
13	643	8	10.50244713653113
13	415	9	10.251680525811175
13	199	10	10.208222066047659
14	64	1	19.7205290020484
14	256	2	15.675406187100084
14	439	3	15.37265040574761
14	65	4	15.179945363947581
14	1364	5	14.752252623555464
14	402	6	14.747225514372296
14	132	7	14.592318836112229
14	170	8	14.527163820525649
14	903	9	14.129613646532672
14	319	10	13.90715577760206
15	462	1	19.56940823435766
15	463	2	16.464805841302194
15	761	3	13.336685767834553
15	1097	4	12.124762840696578
15	1117	5	11.876207157016868
15	1025	6	11.814788119092437
15	1099	7	11.790744216659277
15	817	8	11.439700775781233
15	1279	9	10.904885719865852
15	542	10	10.760381051773908
16	498	1	37.62936127765344
16	1006	2	20.964171655208453
16	927	3	19.69944762104282
16	1255	4	19.361787927666644
16	93	5	19.022594573543067
16	106	6	18.477545653376367
16	869	7	18.13146527775295
16	1301	8	17.09225698194417
16	410	9	16.997552541745428
16	494	10	16.814737857868096
17	1108	1	25.584878692209386
17	1301	2	24.575698049084767
17	577	3	23.69681895574378
17	700	4	23.277811483524747
17	916	5	22.594591273866104
17	498	6	22.071877380139163
17	410	7	21.504832847455287
17	1281	8	21.063612198222486
17	445	9	21.010271482910955
17	801	10	20.238168136324678
18	498	1	27.578842059138783
18	234	2	26.02803154219858
18	1005	3	23.117294899461417
18	197	4	22.758701199785314
18	1006	5	22.458937144781046
18	56	6	22.002071561683785
18	248	7	21.32514752474243
18	1114	8	20.620704691200118
18	232	9	20.29431808672293
18	225	10	20.222680285279907
19	82	1	22.458548715689343
19	1346	2	21.239135741878755
